,index,draw,location_id,age_group_id,value
383,383,draw_104,159,13,0.030467906
384,384,draw_104,159,14,0.008271053
385,385,draw_104,159,15,0.017794612
386,386,draw_104,159,16,0.044362425
387,387,draw_104,165,8,0.01328647
388,388,draw_104,165,9,0.001131065
389,389,draw_104,165,10,0.004251381
390,390,draw_104,165,11,0.00522155
391,391,draw_104,165,12,0.046869814
392,392,draw_104,165,13,0.030467906
393,393,draw_104,165,14,0.008271053
394,394,draw_104,165,15,0.017794612
395,395,draw_104,165,16,0.044362425
396,396,draw_104,174,8,0.007202259
397,397,draw_104,174,9,0.009000337
398,398,draw_104,174,10,0.008480796
399,399,draw_104,174,11,0.013121288
400,400,draw_104,174,12,0.006272457
401,401,draw_104,174,13,0.004438469
402,402,draw_104,174,14,0.007001917
403,403,draw_104,174,15,0.009791815
404,404,draw_104,174,16,0.004719749
405,405,draw_104,179,8,0.007202259
406,406,draw_104,179,9,0.009000337
407,407,draw_104,179,10,0.008480796
408,408,draw_104,179,11,0.013121288
409,409,draw_104,179,12,0.006272457
410,410,draw_104,179,13,0.004438469
411,411,draw_104,179,14,0.007001917
412,412,draw_104,179,15,0.009791815
413,413,draw_104,179,16,0.004719749
414,414,draw_104,199,8,0.017386971
415,415,draw_104,199,9,0.016751825
416,416,draw_104,199,10,0.019436207
417,417,draw_104,199,11,0.017422143
418,418,draw_104,199,12,0.023239674
419,419,draw_104,199,13,0.017310256
420,420,draw_104,199,14,0.012957063
421,421,draw_104,199,15,0.010638123
422,422,draw_104,199,16,0.017142607
423,423,draw_104,214,8,0.017386971
424,424,draw_104,214,9,0.016751825
425,425,draw_104,214,10,0.019436207
426,426,draw_104,214,11,0.017422143
427,427,draw_104,214,12,0.023239674
428,428,draw_104,214,13,0.017310256
429,429,draw_104,214,14,0.012957063
430,430,draw_104,214,15,0.010638123
431,431,draw_104,214,16,0.017142607
432,432,draw_105,159,8,0.020973763
433,433,draw_105,159,9,0.009586654
434,434,draw_105,159,10,0.018244303
435,435,draw_105,159,11,0.003630914
436,436,draw_105,159,12,0.002233298
437,437,draw_105,159,13,0.072736258
438,438,draw_105,159,14,0.010563164
439,439,draw_105,159,15,0.0072672
440,440,draw_105,159,16,0.038369274
441,441,draw_105,165,8,0.020973763
442,442,draw_105,165,9,0.009586654
443,443,draw_105,165,10,0.018244303
444,444,draw_105,165,11,0.003630914
445,445,draw_105,165,12,0.002233298
446,446,draw_105,165,13,0.072736258
447,447,draw_105,165,14,0.010563164
448,448,draw_105,165,15,0.0072672
449,449,draw_105,165,16,0.038369274
450,450,draw_105,174,8,0.005670147
451,451,draw_105,174,9,0.01052277
452,452,draw_105,174,10,0.010803204
453,453,draw_105,174,11,0.010664575
454,454,draw_105,174,12,0.009227754
455,455,draw_105,174,13,0.006819197
456,456,draw_105,174,14,0.005546127
457,457,draw_105,174,15,0.01432959
458,458,draw_105,174,16,0.007002204
459,459,draw_105,179,8,0.005670147
460,460,draw_105,179,9,0.01052277
461,461,draw_105,179,10,0.010803204
462,462,draw_105,179,11,0.010664575
463,463,draw_105,179,12,0.009227754
464,464,draw_105,179,13,0.006819197
465,465,draw_105,179,14,0.005546127
466,466,draw_105,179,15,0.01432959
467,467,draw_105,179,16,0.007002204
468,468,draw_105,199,8,0.019761479
469,469,draw_105,199,9,0.023331632
470,470,draw_105,199,10,0.015196564
471,471,draw_105,199,11,0.021393837
472,472,draw_105,199,12,0.008709856
473,473,draw_105,199,13,0.009877171
474,474,draw_105,199,14,0.015697021
475,475,draw_105,199,15,0.051772589
476,476,draw_105,199,16,0.005409522
477,477,draw_105,214,8,0.019761479
478,478,draw_105,214,9,0.023331632
479,479,draw_105,214,10,0.015196564
480,480,draw_105,214,11,0.021393837
481,481,draw_105,214,12,0.008709856
482,482,draw_105,214,13,0.009877171
483,483,draw_105,214,14,0.015697021
484,484,draw_105,214,15,0.051772589
485,485,draw_105,214,16,0.005409522
486,486,draw_106,159,8,0.01843795
487,487,draw_106,159,9,0.004758558
488,488,draw_106,159,10,0.049193128
489,489,draw_106,159,11,0.00628918
490,490,draw_106,159,12,0.044604505
491,491,draw_106,159,13,0.038288474
492,492,draw_106,159,14,0.01280201
493,493,draw_106,159,15,0.021914776
494,494,draw_106,159,16,0.005984361
495,495,draw_106,165,8,0.01843795
496,496,draw_106,165,9,0.004758558
497,497,draw_106,165,10,0.049193128
498,498,draw_106,165,11,0.00628918
499,499,draw_106,165,12,0.044604505
500,500,draw_106,165,13,0.038288474
501,501,draw_106,165,14,0.01280201
502,502,draw_106,165,15,0.021914776
503,503,draw_106,165,16,0.005984361
504,504,draw_106,174,8,0.008988804
505,505,draw_106,174,9,0.00576921
506,506,draw_106,174,10,0.006039391
507,507,draw_106,174,11,0.00891188
508,508,draw_106,174,12,0.005597972
509,509,draw_106,174,13,0.010801511
510,510,draw_106,174,14,0.005637295
511,511,draw_106,174,15,0.009320493
512,512,draw_106,174,16,0.006397424
513,513,draw_106,179,8,0.008988804
514,514,draw_106,179,9,0.00576921
515,515,draw_106,179,10,0.006039391
516,516,draw_106,179,11,0.00891188
517,517,draw_106,179,12,0.005597972
518,518,draw_106,179,13,0.010801511
519,519,draw_106,179,14,0.005637295
520,520,draw_106,179,15,0.009320493
521,521,draw_106,179,16,0.006397424
522,522,draw_106,199,8,0.015749402
523,523,draw_106,199,9,0.017429567
524,524,draw_106,199,10,0.013441632
525,525,draw_106,199,11,0.020378973
526,526,draw_106,199,12,0.015816439
527,527,draw_106,199,13,0.012505763
528,528,draw_106,199,14,0.016800704
529,529,draw_106,199,15,0.015074878
530,530,draw_106,199,16,0.026161892
531,531,draw_106,214,8,0.015749402
532,532,draw_106,214,9,0.017429567
533,533,draw_106,214,10,0.013441632
534,534,draw_106,214,11,0.020378973
535,535,draw_106,214,12,0.015816439
536,536,draw_106,214,13,0.012505763
537,537,draw_106,214,14,0.016800704
538,538,draw_106,214,15,0.015074878
539,539,draw_106,214,16,0.026161892
540,540,draw_107,159,8,0.03065212
541,541,draw_107,159,9,0.010316551
542,542,draw_107,159,10,0.001737287
543,543,draw_107,159,11,0.015824386
544,544,draw_107,159,12,0.006901275
545,545,draw_107,159,13,0.00873072
546,546,draw_107,159,14,0.008381809
547,547,draw_107,159,15,0.025965397
548,548,draw_107,159,16,0.005072579
549,549,draw_107,165,8,0.03065212
550,550,draw_107,165,9,0.010316551
551,551,draw_107,165,10,0.001737287
552,552,draw_107,165,11,0.015824386
553,553,draw_107,165,12,0.006901275
554,554,draw_107,165,13,0.00873072
555,555,draw_107,165,14,0.008381809
556,556,draw_107,165,15,0.025965397
557,557,draw_107,165,16,0.005072579
558,558,draw_107,174,8,0.004565244
559,559,draw_107,174,9,0.01535588
560,560,draw_107,174,10,0.006931052
561,561,draw_107,174,11,0.015427761
562,562,draw_107,174,12,0.007431109
563,563,draw_107,174,13,0.008774569
564,564,draw_107,174,14,0.011759237
565,565,draw_107,174,15,0.009302539
566,566,draw_107,174,16,0.006053188
567,567,draw_107,179,8,0.004565244
568,568,draw_107,179,9,0.01535588
569,569,draw_107,179,10,0.006931052
570,570,draw_107,179,11,0.015427761
571,571,draw_107,179,12,0.007431109
572,572,draw_107,179,13,0.008774569
573,573,draw_107,179,14,0.011759237
574,574,draw_107,179,15,0.009302539
575,575,draw_107,179,16,0.006053188
576,576,draw_107,199,8,0.016697401
577,577,draw_107,199,9,0.017544126
578,578,draw_107,199,10,0.018488219
579,579,draw_107,199,11,0.021742758
580,580,draw_107,199,12,0.01130194
581,581,draw_107,199,13,0.019865551
582,582,draw_107,199,14,0.014291096
583,583,draw_107,199,15,0.009231025
584,584,draw_107,199,16,0.020037195
585,585,draw_107,214,8,0.016697401
586,586,draw_107,214,9,0.017544126
587,587,draw_107,214,10,0.018488219
588,588,draw_107,214,11,0.021742758
589,589,draw_107,214,12,0.01130194
590,590,draw_107,214,13,0.019865551
591,591,draw_107,214,14,0.014291096
592,592,draw_107,214,15,0.009231025
593,593,draw_107,214,16,0.020037195
594,594,draw_108,159,8,0.029347416
595,595,draw_108,159,9,0.004441006
596,596,draw_108,159,10,0.005411066
597,597,draw_108,159,11,0.027758194
598,598,draw_108,159,12,0.009287657
599,599,draw_108,159,13,0.046497065
600,600,draw_108,159,14,0.008741204
601,601,draw_108,159,15,0.003071045
602,602,draw_108,159,16,0.029677313
603,603,draw_108,165,8,0.029347416
604,604,draw_108,165,9,0.004441006
605,605,draw_108,165,10,0.005411066
606,606,draw_108,165,11,0.027758194
607,607,draw_108,165,12,0.009287657
608,608,draw_108,165,13,0.046497065
